patron_record_num,bib_record_num,op_code
1,1981,o
1,1981,i
1,1981,o
1,1981,i
1,675,o
1,672,o
1,675,i
1,672,i
,1981,i
1,672,o
1,672,i
1,672,o
1,675,o
1,1981,o
15,9379,o
15,9379,i
15,,
15,9379,o
15,9379,i
15,,
15,9379,o
15,9379,i
15,,
692,560,o
692,869,o
692,549,o
692,812,o
692,602,o
692,865,o
408,485,o
408,860,o
634,438,o
691,412,o
691,528,o
691,528,o
691,528,o
691,528,o
691,528,o
691,528,o
691,528,o
691,528,o
691,379,o
691,412,o
691,412,o
691,379,o
691,412,o
691,412,o
691,500,o
691,500,o
691,534,o
691,577,o
692,676,o
691,689,o
634,745,o
691,545,o
691,516,o
691,545,o
691,516,o
692,1631,o
248,2211,o
250,2259,o
250,2258,o
250,2212,o
258,3353,o
258,760,o
258,2212,o
258,2211,o
258,2212,o
258,2211,o
250,2259,o
250,2258,o
250,2212,o
250,3353,o
250,2259,o
250,2258,o
250,2212,o
250,3353,o
250,2147,o
250,2259,o
250,2258,o
250,2212,o
250,2147,o
24648,1189,o
250,2259,o
250,2259,o
250,2258,o
250,2212,o
248,2211,o
258,2212,o
258,2211,o
258,3353,o
258,760,o
691,545,o
691,516,o
24919,414,o
25028,1012,o
24783,1012,o
24751,4079,o
25023,3238,o
24990,1105,o
24990,663,o
24990,2430,o
24758,738,o
24758,3236,o
24758,4173,o
7372,4026,o
28176,3311,o
28176,1203,o
692,3238,o
139,4171,o
139,3261,o
139,1197,o
65,1270,o
6710,3111,o
2711,3111,o
31,667,o
289,1209,o
289,3309,o
24919,414,o
6710,2627,o
6710,1164,o
6710,1163,o
626,816,o
23811,3679,o
23811,3681,o
23811,3779,o
23811,3779,o
23811,497,o
23789,497,o
23834,3765,o
24772,1189,o
24772,4173,o
23226,1221,o
24635,1017,o
57,2503,o
24904,584,o
24904,730,o
24904,1105,o
515,2277,o
23811,3779,o
23523,3145,o
23523,3442,o
24951,1012,o
23834,791,o
24951,4075,o
24371,2819,o
24371,2819,o
24193,797,o
24193,2320,o
24193,2314,o
24203,935,o
24203,5055,o
24205,644,o
24205,4769,o
24919,778,o
24973,444,o
23817,750,o
24973,509,o
250,2259,o
250,2258,o
250,2212,o
248,2211,o
35,522,o
35,667,o
9444,2327,o
9444,2270,o
9444,2314,o
3614,1736,o
3614,2374,o
3614,2376,o
26114,2193,o
26114,4013,o
26114,2314,o
258,2212,o
258,2211,o
24466,5764,o
20378,498,o
23811,5264,o
24973,444,o
20302,3881,o
20302,1270,o
23811,5248,o
23811,5234,o
31,667,o
23921,3523,o
23921,2713,o
23921,412,o
23921,2314,o
23921,2680,o
23921,2271,o
23921,2357,o
23811,1385,o
23811,1386,o
20302,862,o
20302,437,o
242,4097,o
23811,2410,o
81,1145,o
23411,2255,o
23411,3461,o
5561,5775,o
22062,552,o
22062,724,o
12207,2400,o
23789,629,o
23789,629,o
5561,5751,o
24904,3270,o
24904,3224,o
24904,1105,o
8582,825,o
8582,865,o
8582,865,o
8582,825,o
26114,3553,o
26114,5755,o
3117,5755,o
5399,5778,o
5399,5755,o
30748,5755,o
30748,5778,o
23811,3442,o
13117,1244,o
13117,5753,o
13117,1042,o
10879,719,o
10879,2462,o
10879,5772,o
10879,5755,o
10879,5775,o
18834,5265,o
18834,5775,o
18834,5772,o
18834,5755,o
9444,3298,o
27834,5165,o
27834,2184,o
15530,5165,o
15530,2184,o
16855,2184,o
19702,5755,o
17160,5756,o
17160,1057,o
23834,791,o
5399,3763,o
5399,645,o
23817,4873,o
23817,4873,o
23817,2857,o
515,2277,o
24919,778,o
24919,707,o
14786,1057,o
14786,1057,o
14786,5753,o
23817,3718,o
23817,3718,o
23817,3718,o
22998,506,o
22998,3157,o
24896,3238,o
79,4886,o
23811,3681,o
23811,3681,o
13417,630,o
28241,842,o
24371,3009,o
24371,3009,o
24184,1628,o
24184,1630,o
24184,1287,o
24184,4696,o
24181,2270,o
24184,4696,o
24171,5778,o
24171,935,o
24205,3846,o
24174,5148,o
24186,1301,o
24186,945,o
24186,2850,o
24186,4873,o
8752,1034,o
18784,1628,o
8130,1396,o
8130,383,o
8130,430,o
8130,1410,o
17160,3304,o
17160,3304,o
24193,2320,o
24193,2314,o
24990,1105,o
24990,663,o
24990,4173,o
19702,5778,o
24973,6927,o
29084,5755,o
4700,1287,o