continent,isBot,statistics_type,city,latitude,type,uid,itemID,itemName,owningItem,countryCode,sortBy,id,longitude,owningComm,ip,query,dns,userAgent,referrer,rpp,sortOrder,bundleName,time,page,epersonid,itemHandle,compositeType,owningColl
AS,FALSE,view,Thanh Pho Thai Nguyen,21.5928,0,4fb45e15-c5b2-470e-bcb9-ab1b5ea64412,"36590c80-a1b0-4a68-b779-7ddae6051181,36590c80-a1b0-4a68-b779-7ddae6051181","Thúc đẩy hoạt động tiêu thụ sản phẩm của công ty cổ phần dược phẩm Vĩnh Phúc - VINAPHACO,Thúc đẩy hoạt động tiêu thụ sản phẩm của công ty cổ phần dược phẩm Vĩnh Phúc - VINAPHACO",36590c80-a1b0-4a68-b779-7ddae6051181,VN,,e8259ad7-53a4-41f2-839b-c32dbab72ffc,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,THUMBNAIL,2024-03-29T01:12:07.566Z,,,"UNETI/520,UNETI/520",download,c13164c8-48d9-4d00-aa58-db6396880214
AS,FALSE,view,Thanh Pho Thai Nguyen,21.5928,0,223d9d47-afb8-4bf2-b40a-b1dcb0f0c17d,"6f792d1a-8b3b-4fba-8355-a74ca31f6090,6f792d1a-8b3b-4fba-8355-a74ca31f6090","Giải pháp hoàn thiện hoạt động tiêu thụ sản phẩm tại Công ty Cổ phần Sơn Phước Định,Giải pháp hoàn thiện hoạt động tiêu thụ sản phẩm tại Công ty Cổ phần Sơn Phước Định",6f792d1a-8b3b-4fba-8355-a74ca31f6090,VN,,11987fa4-ec76-48f8-91af-04d441956a9c,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,THUMBNAIL,2024-03-29T01:12:07.639Z,,,"UNETI/559,UNETI/559",download,c13164c8-48d9-4d00-aa58-db6396880214
AS,FALSE,search,Hanoi,21.0333,,508ec957-6400-4d9b-9b7b-73ded37a0d6f,,,,VN,score,,105.85,,117.6.131.70,"""nâng cao hiệu quả hoạt động kinh doanh """,117.6.131.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22n%C3%A2ng%20cao%20hi%E1%BB%87u%20qu%E1%BA%A3%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng%20kinh%20doanh%20%22&spc.page=1,0,desc,,2024-03-29T08:17:02.856Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,724516fd-6cf4-4fc6-85f9-c59ef68fdc5a,,,,VN,score,,105.85,,210.245.48.178,"""tài liệu học tập cơ điện tử""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22t%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20c%C6%A1%20%C4%91i%E1%BB%87n%20t%E1%BB%AD%22&spc.page=1,0,desc,,2024-03-29T08:19:06.244Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,94c02b38-5037-422c-9975-7ae18d13f401,,,,VN,score,,105.85,,210.245.48.178,"""tài liệu học tập cơ kỹ thuật""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22t%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20c%C6%A1%20k%E1%BB%B9%20thu%E1%BA%ADt%22&spc.page=1,0,desc,,2024-03-29T08:19:19.148Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,c5f8a51e-2c9a-4c00-80f1-9a0681ab017e,,,,VN,score,,105.85,,210.245.48.178,"""Tài liệu học tập Thông gió""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22T%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20Th%C3%B4ng%20gi%C3%B3%22&spc.page=1,0,desc,,2024-03-29T08:21:13.294Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,e41885b0-54fe-4868-9cee-19e98c40bb9c,,,,VN,score,,105.85,,210.245.48.178,"""Tài liệu học tập Kỹ thuật nhiệt""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22T%C3%A0i%20li%E1%BB%87u%20h%E1%BB%8Dc%20t%E1%BA%ADp%20K%E1%BB%B9%20thu%E1%BA%ADt%20nhi%E1%BB%87t%22&spc.page=1,0,desc,,2024-03-29T08:21:41.922Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,c8f57907-47f9-4bdc-92e5-2be4c90b5c8d,,,,VN,score,,105.85,,210.245.48.178,"""Kỹ thuật điện - Tự động hóa""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22K%E1%BB%B9%20thu%E1%BA%ADt%20%C4%91i%E1%BB%87n%20-%20T%E1%BB%B1%20%C4%91%E1%BB%99ng%20h%C3%B3a%22&spc.page=1,0,desc,,2024-03-29T08:21:57.609Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,24ff5100-03e3-4c45-b9e3-289e0d9fea5a,,,,VN,score,,105.85,,117.6.131.70,"""nâng cao hiệu quả hoạt động kinh doanh """,117.6.131.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22n%C3%A2ng%20cao%20hi%E1%BB%87u%20qu%E1%BA%A3%20ho%E1%BA%A1t%20%C4%91%E1%BB%99ng%20kinh%20doanh%20%22&spc.page=1,0,desc,,2024-03-29T08:22:11.908Z,1,d132f5ac-7491-4e9c-82ed-9b4170b8b662,,search,
AS,FALSE,search,Hanoi,21.0333,,6c674e10-b5a2-4b26-a9ba-3eeb614b68d1,,,,VN,score,,105.85,,210.245.48.178,""" Lý thuyết điều khiển tự động""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22%20L%C3%BD%20thuy%E1%BA%BFt%20%C4%91i%E1%BB%81u%20khi%E1%BB%83n%20t%E1%BB%B1%20%C4%91%E1%BB%99ng%22&spc.page=1,0,desc,,2024-03-29T08:22:18.769Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,2e45e1cb-4adf-4bf2-9497-146947dedb72,,,,VN,score,,105.85,,210.245.48.178,"""Công nghệ và Thiết bị in hoa xử lý hoàn tất vật liệu dệt""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22C%C3%B4ng%20ngh%E1%BB%87%20v%C3%A0%20Thi%E1%BA%BFt%20b%E1%BB%8B%20in%20hoa%20x%E1%BB%AD%20l%C3%BD%20ho%C3%A0n%20t%E1%BA%A5t%20v%E1%BA%ADt%20li%E1%BB%87u%20d%E1%BB%87t%22&spc.page=1,0,desc,,2024-03-29T08:24:43.311Z,1,,,search,
AS,FALSE,search,Hanoi,21.0333,,c9266ba7-1777-42e8-805c-eb80141c8487,,,,VN,score,,105.85,,210.245.48.178,"""Công nghệ và thiết bị nhuộm""",210.245.48.178,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",https://dlib.uneti.edu.vn/search?query=%22C%C3%B4ng%20ngh%E1%BB%87%20v%C3%A0%20thi%E1%BA%BFt%20b%E1%BB%8B%20nhu%E1%BB%99m%22&spc.page=1,0,desc,,2024-03-29T08:24:58.773Z,1,,,search,
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,012db87b-ed60-404b-b7db-5fd283a251a3,"259f187f-d1e0-4d7d-99db-38f7347843e5,259f187f-d1e0-4d7d-99db-38f7347843e5","Một số giải pháp marketing nhằm đẩy mạnh hoạt động tiêu thu xe máy Honda tại công ty TNHH Hùng Chung Nghĩa,Một số giải pháp marketing nhằm đẩy mạnh hoạt động tiêu thu xe máy Honda tại công ty TNHH Hùng Chung Nghĩa",259f187f-d1e0-4d7d-99db-38f7347843e5,VN,,cadd8d54-f905-494b-8b6a-60a776357eef,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:13:06.012Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2755,UNETI/2755",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,0c408821-731f-41b8-8a1a-437334562fb1,"249cc973-f129-40b1-a90c-38893b6acf9d,249cc973-f129-40b1-a90c-38893b6acf9d","Một số giải pháp marketing nhằm nâng cao khả năng tiêu thụ sản phẩm bóng đèn tại công ty Rạng Đông giai đoạn 2022-2025,Một số giải pháp marketing nhằm nâng cao khả năng tiêu thụ sản phẩm bóng đèn tại công ty Rạng Đông giai đoạn 2022-2025",249cc973-f129-40b1-a90c-38893b6acf9d,VN,,09632a0e-1354-404b-91f8-20be1f7a91cc,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:14:08.211Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2466,UNETI/2466",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,e8aa5a8b-0acb-49d6-8813-36e6754f2558,"0b32147f-ba09-42a8-855f-26edc6bc1a0c,0b32147f-ba09-42a8-855f-26edc6bc1a0c","Giải pháp marketing nhằm nâng cao năng lực cạnh tranh của Công ty Cổ phần Công nghệ tài chính VNFITE,Giải pháp marketing nhằm nâng cao năng lực cạnh tranh của Công ty Cổ phần Công nghệ tài chính VNFITE",0b32147f-ba09-42a8-855f-26edc6bc1a0c,VN,,92be4107-0863-4a14-a544-f5f36465fd0a,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:15:07.632Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2663,UNETI/2663",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,d04f9811-67a7-4cc1-aecc-c6fea305f6be,"11941ae9-11a7-4476-a7b0-1b8c9f7b0b1e,11941ae9-11a7-4476-a7b0-1b8c9f7b0b1e","Giải pháp marketing nhằm nâng cao hiệu quả tiêu thụ sản phẩm tại Công ty trách nhiệm hữu hạn một thành viên Alifaco,Giải pháp marketing nhằm nâng cao hiệu quả tiêu thụ sản phẩm tại Công ty trách nhiệm hữu hạn một thành viên Alifaco",11941ae9-11a7-4476-a7b0-1b8c9f7b0b1e,VN,,25ffd3d2-8edb-40b7-9c09-9d63769df788,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:16:15.075Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2671,UNETI/2671",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,ed13b596-9896-47a5-a239-8d7f7c0988be,"80ddfc79-ff71-4763-9911-cfdb716325b9,80ddfc79-ff71-4763-9911-cfdb716325b9","Giải pháp marketing nhằm nâng cao khả năng tiêu thụ sản phẩm tại công ty TNHH dệt may XNK Thái Sơn,Giải pháp marketing nhằm nâng cao khả năng tiêu thụ sản phẩm tại công ty TNHH dệt may XNK Thái Sơn",80ddfc79-ff71-4763-9911-cfdb716325b9,VN,,6f1dd7b8-0a66-42ec-9bcc-d5b119ae7d1f,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:18:49.525Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2647,UNETI/2647",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Thanh Pho Thai Nguyen,21.5928,0,2c1190a7-9ce9-416e-b6d0-f9f04fbe353b,"ecdcff74-f636-45f5-a3a6-a1a52d463097,ecdcff74-f636-45f5-a3a6-a1a52d463097","Nghiên cứu và đề xuất giải pháp nâng cao khả năng tiêu thụ mặt hàng Nhật nội địa tại công ty Cổ phần thương mại và xuất nhập khẩu HSC39,Nghiên cứu và đề xuất giải pháp nâng cao khả năng tiêu thụ mặt hàng Nhật nội địa tại công ty Cổ phần thương mại và xuất nhập khẩu HSC39",ecdcff74-f636-45f5-a3a6-a1a52d463097,VN,,1f1be40a-f6fe-40c1-aa4c-45d508913819,105.8442,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,116.97.108.103,,116.97.108.103,DRM UNETI/1.0.7 (vn.com.dlcorp.DRMUNETI; build:1; iOS 15.3.1) Alamofire/5.8.0,,,,ORIGINAL,2024-03-29T01:21:42.643Z,,90981870-1077-4f50-8593-6038962e15ac,"UNETI/2197,UNETI/2197",loan_bitstream_0,1ee6794e-7c0f-4c90-8a2d-d31c5731362e
AS,FALSE,loan_bitstream,Hanoi,21.0333,0,11d59d8c-f43b-4ef9-a2aa-a7efacd4179d,"936d9650-1eb9-4109-b01a-84cd4260bdee,936d9650-1eb9-4109-b01a-84cd4260bdee","Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại Công ty TNHH Eco Nakano Việt Nam,Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại Công ty TNHH Eco Nakano Việt Nam",936d9650-1eb9-4109-b01a-84cd4260bdee,VN,,07f9088c-112f-4382-a47e-5c457cec48c1,105.85,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,117.7.0.92,,117.7.0.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) DLCorp.DRM.UNETI/2.0.0 Chrome/102.0.5005.61 Electron/19.0.1 Safari/537.36",,,,ORIGINAL,2024-03-29T09:38:00.194Z,,4180720d-cd33-49c0-8a68-81a46f225e5a,"UNETI/3201,UNETI/3201",loan_bitstream_0,9e7e7fa2-963a-464c-b616-db75e9d389ca
AS,FALSE,loan_bitstream,Hanoi,21.0333,0,64eceb8b-dcbd-4a2b-93a1-728cf486d6cf,"e32b7743-e451-4758-a6a1-6795bc76655d,e32b7743-e451-4758-a6a1-6795bc76655d","Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại công ty TNHH Vũ Xuân Binh,Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại công ty TNHH Vũ Xuân Binh",e32b7743-e451-4758-a6a1-6795bc76655d,VN,,cc55f617-c7cc-4cd1-9f47-d7b1e9ca8fec,105.85,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,117.7.0.92,,117.7.0.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) DLCorp.DRM.UNETI/2.0.0 Chrome/102.0.5005.61 Electron/19.0.1 Safari/537.36",,,,ORIGINAL,2024-03-29T09:56:28.713Z,,4180720d-cd33-49c0-8a68-81a46f225e5a,"UNETI/3264,UNETI/3264",loan_bitstream_0,9e7e7fa2-963a-464c-b616-db75e9d389ca
AS,FALSE,loan_bitstream,Hanoi,21.0333,0,19b492a2-362a-44aa-a834-c1ce356eba67,"6f70fb3c-2ac5-4145-b290-73a780f63604,6f70fb3c-2ac5-4145-b290-73a780f63604","Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại công ty cổ phần SX và TM vật liệu mới,Kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại công ty cổ phần SX và TM vật liệu mới",6f70fb3c-2ac5-4145-b290-73a780f63604,VN,,c9e727e8-1332-4ce9-b50d-a8ac4d5af3de,105.85,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,117.7.0.92,,117.7.0.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) DLCorp.DRM.UNETI/2.0.0 Chrome/102.0.5005.61 Electron/19.0.1 Safari/537.36",,,,ORIGINAL,2024-03-29T09:53:15.795Z,,4180720d-cd33-49c0-8a68-81a46f225e5a,"UNETI/3097,UNETI/3097",loan_bitstream_0,9e7e7fa2-963a-464c-b616-db75e9d389ca
AS,FALSE,loan_bitstream,Hanoi,21.0333,0,43e822e1-79ad-4806-8952-e889f4e1fcbf,"15754bf7-851e-4ac9-835d-1e999c8dd8db,15754bf7-851e-4ac9-835d-1e999c8dd8db","Kế toán tập hợp chi phí sản xuất và tính giá thành tại Công ty TNHH Thực Phẩm Nam Thắng,Kế toán tập hợp chi phí sản xuất và tính giá thành tại Công ty TNHH Thực Phẩm Nam Thắng",15754bf7-851e-4ac9-835d-1e999c8dd8db,VN,,51303441-d9d6-4d1c-a088-d434daa082e9,105.85,6a454412-5b9d-43d2-a2f3-7b20aa6b2b4e,117.7.0.92,,117.7.0.92,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) DLCorp.DRM.UNETI/2.0.0 Chrome/102.0.5005.61 Electron/19.0.1 Safari/537.36",,,,ORIGINAL,2024-03-29T09:53:30.197Z,,4180720d-cd33-49c0-8a68-81a46f225e5a,"UNETI/3247,UNETI/3247",loan_bitstream_0,9e7e7fa2-963a-464c-b616-db75e9d389ca
